"Site Time","Weather Station Ground Mount 1 - Amb T, Mod T1, Wind: Ambient temp (TempF) Degrees Fahrenheit"
03-19-2025 00:00:00,36.894
03-19-2025 01:00:00,35.596
03-19-2025 02:00:00,34.571
03-19-2025 03:00:00,33.499
03-19-2025 04:00:00,32.867
03-19-2025 05:00:00,32.439
03-19-2025 06:00:00,31.924
03-19-2025 07:00:00,32.701
03-19-2025 08:00:00,38.889
03-19-2025 09:00:00,49.62
03-19-2025 10:00:00,59.02
03-19-2025 11:00:00,65.934
03-19-2025 12:00:00,71.129
03-19-2025 13:00:00,74.002
03-19-2025 14:00:00,75.9
03-19-2025 15:00:00,74.888
03-19-2025 16:00:00,71.688
03-19-2025 17:00:00,66.998
03-19-2025 18:00:00,60.643
03-19-2025 19:00:00,55.513
03-19-2025 20:00:00,51.675
03-19-2025 21:00:00,49.42
03-19-2025 22:00:00,47.629
03-19-2025 23:00:00,45.266
03-20-2025 00:00:00,43.097
03-20-2025 01:00:00,44.84
03-20-2025 02:00:00,45.574
03-20-2025 03:00:00,44.608
03-20-2025 04:00:00,43.456
03-20-2025 05:00:00,43.399
03-20-2025 06:00:00,43.539
03-20-2025 07:00:00,43.928
03-20-2025 08:00:00,45.217
03-20-2025 09:00:00,47.683
03-20-2025 10:00:00,52.24
03-20-2025 11:00:00,59.451
03-20-2025 12:00:00,63.727
03-20-2025 13:00:00,66.229
03-20-2025 14:00:00,68.689
03-20-2025 15:00:00,67.741
03-20-2025 16:00:00,67.906
03-20-2025 17:00:00,66.371
03-20-2025 18:00:00,62.641
03-20-2025 19:00:00,59.495
03-20-2025 20:00:00,54.932
03-20-2025 21:00:00,53.378
03-20-2025 22:00:00,50.979
03-20-2025 23:00:00,48.019
03-21-2025 00:00:00,48.257
03-21-2025 01:00:00,47.393
03-21-2025 02:00:00,46.297
03-21-2025 03:00:00,45.832
03-21-2025 04:00:00,45.014
03-21-2025 05:00:00,43.329
03-21-2025 06:00:00,40.931
03-21-2025 07:00:00,38.629
03-21-2025 08:00:00,38.813
03-21-2025 09:00:00,39.848
03-21-2025 10:00:00,42.809
03-21-2025 11:00:00,46.274
03-21-2025 12:00:00,49.89
03-21-2025 13:00:00,51.605
03-21-2025 14:00:00,53.349
03-21-2025 15:00:00,54.048
03-21-2025 16:00:00,54.644
03-21-2025 17:00:00,53.621
03-21-2025 18:00:00,51.478
03-21-2025 19:00:00,47.546
03-21-2025 20:00:00,43.648
03-21-2025 21:00:00,38.77
03-21-2025 22:00:00,35.814
03-21-2025 23:00:00,33.851
03-22-2025 00:00:00,32.51
03-22-2025 01:00:00,31.877
03-22-2025 02:00:00,31.742
03-22-2025 03:00:00,33.12
03-22-2025 04:00:00,32.38
03-22-2025 05:00:00,31.745
03-22-2025 06:00:00,31.447
03-22-2025 07:00:00,32.378
03-22-2025 08:00:00,37.816
03-22-2025 09:00:00,49.396
03-22-2025 10:00:00,58.058
03-22-2025 11:00:00,60.796
03-22-2025 12:00:00,63.751
03-22-2025 13:00:00,65.767
03-22-2025 14:00:00,62.176
03-22-2025 15:00:00,61.837
03-22-2025 16:00:00,63.165
03-22-2025 17:00:00,60.041
03-22-2025 18:00:00,57.456
03-22-2025 19:00:00,55.214
03-22-2025 20:00:00,51.83
03-22-2025 21:00:00,48.693
03-22-2025 22:00:00,45.682
03-22-2025 23:00:00,42.891
03-23-2025 00:00:00,40.573
03-23-2025 01:00:00,38.903
03-23-2025 02:00:00,36.646
03-23-2025 03:00:00,34.503
03-23-2025 04:00:00,32.78
03-23-2025 05:00:00,31.405
03-23-2025 06:00:00,30.31
03-23-2025 07:00:00,30.318
03-23-2025 08:00:00,33.372
03-23-2025 09:00:00,36.356
03-23-2025 10:00:00,40.427
03-23-2025 11:00:00,44.343
